name,nobluray,time
魔法满屋 4K蓝光原盘下载+高清MKV版/奇幻魔法屋(港) / 音乐的魔法 2021 Encanto 59.0G,4K,02-25
三个月 蓝光高清MKV版/忐忑三月期 2022 Three Months 7.0G,蓝光高清,02-24
手卷烟 蓝光高清MKV版/Winston / Hand Rolled Cigarette 2020 手捲煙 12.0G,蓝光高清,02-24
巴赫曼先生和他的学生 WEB-DL版下载/巴赫曼先生和他的班级 / Mr. Bachmann and His Class 2021 Herr Bachmann und seine Klasse 9.8G,蓝光高清,02-24
迷失1971 蓝光原盘下载+高清MKV版/71暴乱夜(港/台) / 71年 2014 '71 40.2G,电影,02-24
"宁静的热情  蓝光原盘下载+高清MKV版/爱美丽的今生(港) / Emily Dickinson, a Quiet Passion 2016 A Quiet Passion 40.0G",电影,02-22
记忆之夜 蓝光原盘下载+高清MKV版/Forgotten 2017 기억의 밤 41.6G,电影,02-22
风吹麦浪 WEB-DL版下载/吹动大麦的风(台) / 风吹稻浪 2006 The Wind That Shakes the Barley 9.2G,蓝光高清,02-21
[顶级预告]奇异博士2：疯狂多元宇宙/ 斯特兰奇博士2 / 奇异博士2：失控多重宇宙(港/台) / 奇异博士2: 失控多元宇宙(港) / Doctor Strange 2 / Doctor Strange: in the Multiverse of Madness 2022-05-06 美国上映,顶级预告,02-20
西班牙女佣 蓝光原盘下载+高清MKV版/真情快译通(台) / 拉丁英语 / 欢喜冤家 / 求恋家庭 2004 Spanglish 23.3G,电影,02-20
伴你高飞 蓝光原盘下载+高清MKV版/返家十万里 / 飞向故乡 / 回南 1996 Fly Away Home 22.4G,电影,06-01
纳瓦尔尼 蓝光高清MKV版/逆权斗士纳瓦尔尼 2022 Navalny 5.9G,蓝光高清,05-31
[预告片]碟中谍7：致命清算（上）/ 不可能的任务：致命清算 第一章(台) / 职业特工队：死亡清算上集(港) / Mission: Impossible – Dead Reckoning Part One -2023-07-14 美国上映,电影,05-27
替身演员 4K蓝光高清MKV版/替身演员 美国版 / 替身 / 幕前情人 2022 The Valet 14.3G,蓝光高清,05-25
奇奇与蒂蒂：救援突击队 WEB-DL版下载/救难小福星(台) 2022 Chip 'n' Dale: Rescue Rangers 11.6G,蓝光高清,05-23
坏蛋联盟 蓝光原盘下载+高清MKV版/大坏蛋 / 坏家伙 / Bad Guys 2022 The Bad Guys 40.8G,电影,05-23
新蝙蝠侠 4K蓝光原盘下载+高清MKV版/蝙蝠侠(港/台) / 重启版蝙蝠侠 2022 The Batman90.7G,4K,05-21
瞬息全宇宙 WEB-DL版下载/妈的多重宇宙(台) / 奇异女侠玩救宇宙(港) / 天马行空(新加坡) / 瞬息各处所有 / 全部世界同时一切 2022 Everything Everywhere All at Once 6.4G,蓝光高清,05-19
好好拍电影 蓝光高清MKV版/Keep Rolling 2020 好好拍電影 5.3G,蓝光高清,05-15
北欧人 蓝光高清MKV版/北方人(台) 2022 The Northman 24.3G,蓝光高清,05-13
甘古拜·卡蒂娅瓦迪 蓝光高清MKV版/甘古拜·卡蒂亚瓦迪 2022 Gangubai Kathiawadi 4.5G,蓝光高清,05-12
跳出我天地 蓝光原盘下载+高清MKV版/舞动人生(港/台) / 芭蕾之梦 / 比利·艾略特 / 穷人的孩子爱芭蕾 2000 Billy Elliot 27.9G,电影,05-11
雅穆克围城日记 WEB-DL版下载/Our Little Palestine 2021 Little Palestine (Diary of a Siege) 3.3G,蓝光高清,05-09
火之夜 WEB-DL版下载/Night of Fire / Prayers for the Stolen / 被偷走的女孩(台) 2021 Noche de fuego 6.8G,蓝光高清,05-06
音魂掠影 蓝光高清MKV版/50年一瞬间的魔幻时刻 / The Glance of Music / Lo sguardo della musica / 50年一瞬的魔幻时刻 / Ennio 2021 Ennio: The Maestro 7.7G,蓝光高清,05-05
你将不再孤单 WEB-DL版下载 2022 You Won't Be Alone 19.1G,蓝光高清,05-03
安妮+ 蓝光高清MKV版/Anne+: The Film 2021 Anne+ 4.9G,蓝光高清,05-03
再会 WEB-DL版下载 2021 See You Then 3.6G,蓝光高清,05-01
北极熊 WEB-DL版下载 2022 Polar Bear 13.6G,蓝光高清,04-27
探险家：最后的特普伊山 WEB-DL版下载/探险家：攀登平顶山(台) 2022 Explorer: The Last Tepui 6.4G,蓝光高清,04-27
布莱恩·约翰逊：漫长的承诺之路 蓝光原盘下载+高清MKV版 2021 Brian Wilson: Long Promised Road 29.1G,电影,04-23
"奥林匹亚街区 蓝光高清MKV版/巴黎13区 / Paris, 13th District / 慾巴黎十三區 2021 Les Olympiades 7.7G",蓝光高清,04-23
逃亡 蓝光高清MKV版/逃不出的记忆 / 无处安心(港) / Flee 2021 Flugt 6.3G,蓝光高清,04-22
活在当下 WEB-DL版下载/Carpe Diem / Zero Fucks Given / 空姐没有昨天(台) 2021 Rien à foutre 6.9G,蓝光高清,04-13
黑客帝国：矩阵重启 4K高清MKV版/黑客帝国4：矩阵重生 / 骇客帝国4 / 骇客任务：复活(台) / 22世纪杀人网络：复活次元(港) / 骇客任务4 / 黑客帝国：复兴 2021 The Matrix Resurrections 19.3G,4K,12-23
天鹅挽歌 4K蓝光高清MKV版/天鹅之歌 / 最后绝唱 2021 Swan Song 19.3G,4K,12-22
泽西男孩 蓝光原盘下载+高清MKV版/纽泽西男孩 2014 Jersey Boys 26.6G,电影,12-20
女教皇 蓝光原盘下载+高清MKV版/圣袍天下：惊世女教皇(台) / 女教皇传(港) / Pope Joan 2009 Die Päpstin 24.3G,电影,12-19
江湖浪子 蓝光原盘下载+高清MKV版/Robert Rossen's The Hustler 1961 The Hustler 41.3G,电影,12-18
"法兰西特派 蓝光原盘下载+高清MKV版/法兰西诸事周报(港) / 法式派遣 / 法国派遣 / 法兰西派遣 / The French Dispatch of the Liberty, Kansas Evening Sun / 法兰西特派周报(台) 2021 The French Dispatch 21.2G",电影,12-16
美丽坏东西 蓝光原盘下载+高清MKV版/天使夜惊情 / 肮脏甜蜜的事 2002 Dirty Pretty Things 20.2G,电影,12-15
上帝之手 WEB-DL版下载/上帝之手与我 / The Hand of God 2021 È stata la mano di Dio 4.0G,蓝光高清,12-15
不可饶恕 蓝光高清MKV版/无赦 2021 The Unforgivable 5.1G,蓝光高清,12-15
漫长的告别 蓝光高清MKV版/甜咖喱之味(港) / A Long Goodbye / The Long Good-Bye 2019 長いお別れ 8.0G,蓝光高清,12-15
布鲁姆兄弟 蓝光原盘下载+高清MKV版/Penelope / 骗行无阻 / 骗骗喜欢你 2008 The Brothers Bloom 26.7G,电影,12-14
狼狈 蓝光原盘下载+高清MKV版/恶女罗曼死(台) / 整容天后(港) / Helter Skelter 2012 ヘルタースケルター 36.7G,电影,12-12
十月围城 蓝光原盘下载+高清MKV版/Bodyguards and Assassins 2009 十月围城 44.6G,电影,12-12
"战场上的快乐圣诞 蓝光原盘下载+高清MKV版/俘虏(台) / 圣诞快乐，劳伦斯先生 / Merry Christmas, Mr. Lawrence / 戦場のメリークリスマス 1983 Merry Christmas Mr. Lawrence 22.8G",电影,12-11
天赐灵机 蓝光高清MKV版/罗恩失灵了 / 失灵脑朋友(港) / 天兵阿荣(台) 2021 Ron's Gone Wrong 11.4G,蓝光高清,12-10
最后的决斗 蓝光原盘下载+高清MKV版/最后的对决 / 终极决斗 / 最後絕鬥(港) 2021 The Last Duel 56.5G,电影,12-06
我亲爱的表哥 蓝光高清MKV版/我亲爱的表兄 / Cousins 2019 Primos 7.8G,蓝光高清,12-05
另一个波琳家的女孩 蓝光原盘下载+高清MKV版/鸠占鹊巢 / 美人心机 / 华丽孽缘 / 王室双姝 2008 The Other Boleyn Girl 40.1G,电影,12-04
冲动 蓝光高清MKV版/浪涌 2020 Surge 13.0G,蓝光高清,12-04
贝尔法斯特 蓝光原盘下载+高清MKV版/Belfaste 2021 Belfast 36.7G,电影,12-04
[顶级预告片] 黑客帝国4：矩阵重生 /骇客任务：复活(台) / 22世纪杀人网络：复活次元(港) / 骇客任务4 / 黑客帝国：复兴 The Matrix Resurrections 2021-12-22 美国上映,顶级预告,12-01
第八页 蓝光原盘下载+高清MKV版 2011 Page Eight 21.1G,电影,11-30
回火 4K蓝光原盘下载+高清MKV版/烈火雄心(港) / 浴火赤子情(台) 1991 Backdraft 54.5G,4K,11-29
内特拉姆 蓝光高清MKV版/恶的序章(台) 2021 Nitram 11.8G,蓝光高清,11-28
姐弟的夏夜 WEB-DL版下载/家庭的夏日夜晚 / 姐弟的夏天 / Moving On 2019 남매의 여름밤 5.2G,蓝光高清,10-12
失控玩家 4K蓝光原盘下载+高清MKV版/分身人/爆机自由仁(港)/脱稿玩家(台)/自由之人/自由人 2021 Free Guy 57.6G,4K,10-12
蝙蝠侠归来 4K蓝光原盘下载+高清MKV版/蝙蝠侠2 / 蝙蝠侠再战风云(港) / 蝙蝠侠大显神威(台) / 蝙蝠侠重现江湖 / 蝙蝠侠2：蝙蝠侠归来 1992 Batman Returns 75.2G,4K,10-11
寂静之地2 4K蓝光原盘下载+高清MKV版/A Quiet Place 2/噤界II(台)/无声绝境II(港) 2021 A Quiet Place: Part II 55GB,4K,10-10
200米 WEB-DL版下载 2020 Meters 6.1G,蓝光高清,10-09
盛夏未来 WEB-DL版下载/世纪末的未来 / 未来的未来 / Upcoming Summer 2021 盛夏未来 5.7G,蓝光高清,10-09
蓝色海湾 WEB-DL版下载/蓝色港湾 2021 Blue Bayou 20.7G,蓝光高清,10-09
"男人女人和孩子 蓝光原盘下载+高清MKV版/云端男女(台) / 大人小孩 / Pale Blue Dot 2014 Men, Women & Children 38.8G",电影,10-08
在一起 WEB-DL版下载 2021 Together 9.5G,蓝光高清,10-05
阅后即焚 蓝光高清MKV版/CIA光碟离奇失窃案(港) / 即刻毁灭(台) 2008 Burn After Reading 12.2G,蓝光高清,10-04
我的影子在奔跑 WEB-DL版下载/我不是傻瓜 / My Running Shadow 2013 我的影子在奔跑 11.4G,蓝光高清,10-04
情欲写真 蓝光原盘下载+高清MKV版/忠贞 / Fidelity 2000 La fidélité 30.6G,电影,09-29
悬崖之上 蓝光高清MKV版/Impasse / Cliff Walkers 2021 悬崖之上 12.3G,电影,09-29
失眠症 蓝光原盘下载+高清MKV版/白夜追凶(港) / 针锋相对(台) / 致命对抗 2002 Insomnia 46.5G,电影,09-28
野草莓 蓝光原盘下载+高清MKV版/Wild Strawberries 1957 Smultronstället 16.1G,电影,09-24
肖申克的救赎 4K蓝光原盘+高清MKV版/月黑高飞(港)/刺激1995(台)/地狱诺言/消香克的救赎/1994 The Shawshank Redemption 58.0G,4K,09-22
亲亲老爸 蓝光原盘下载+高清MKV版/老爸行不行(台) / 真的恋错了(港) / 三个新娘一个老爸 / 丹的真实生活 2007 Dan in Real Life 27.6G,电影,09-21
致命感应 WEB-DL版下载 /Malignant Man/恶性/恶毒/恶煞(港)/疾厄(台)/肿瘤/肿瘤侠 2021 Malignant 14.2G,蓝光高清,09-21
疯女人的舞会 WEB-DL版下载/疯美人舞会 / The Mad Women's Ball 2021 Le Bal des folles 8.4G,蓝光高清,09-21
白色上帝 蓝光高清MKV版/狗眼看人间(港) / 忠犬追杀令(台) / 白狗 / White God 2014 Fehér isten 14.7G,蓝光高清,09-20
扎马 蓝光原盘下载+高清MKV版/流亡将军沙马(港) / 薩瑪的漫長等待(台) 2017 Zama 17.3G,电影,09-19
我随身携带你 WEB-DL版/Te Llevo Conmigo 2020 I Carry You with Me 8.2G,蓝光高清,09-19
阿帕鲁萨镇 蓝光原盘下载+高清MKV版/大西部 / 阿帕鲁萨 / 种马 / 铁腕豪情 2008 Appaloosa 22.5G,电影,09-19
哭泣的男人 WEB-DL高清版下载 2021 Cry Macho 13.1G,电影,09-18
燃眉追击 4K蓝光原盘下载+高清MKV版/迫切的危机(台) 1994 Clear and Present Danger 65.8G,4K,09-18
小人物 4K蓝光原盘下载+高清MKV版/ 杀神NOBODY(港) / 无名弑(台) / 无名小卒 2021 Nobody 61.4GB,4K,09-16
爱的后事 蓝光原盘下载+高清MKV版/當愛離開時(台) 2020 After Love 26.1G,电影,09-15
堕落天使 蓝光高清MKV版/Fallen Angels 1995 墮落天使 13.9G,蓝光高清,09-14
燃情迈阿密 蓝光原盘下载+高清MKV版 2008 Dostana,电影,09-13
世界新闻 4K蓝光原盘下载+高清MKV版/结叛同行(港) / 读报人(台) 2020 News of the World 60.2G,4K,09-13
南营洞1985 蓝光原盘下载+高清MKV版/野蛮的时代 / 国家安全 / National Security / Namyeong-dong 1985 2012 남영동 1985 43.9G,电影,09-12
阿洛伊斯 蓝光高清MKV版/寻爱侦探阿洛伊斯(台) 2016 Aloys 6.6G,蓝光高清,09-12
密室逃生2 WEB-DL版下载/密室逃杀2 / 密室逃杀: 幸存者游戏(港) / 密弑游戏2：胜者危亡(台) / Escape Room: Tournament of Champions 2021 Escape Room 2 9.6G,蓝光高清,09-09
洛卡改变世界 蓝光高清MKV版/非凡小女生 / Rocca Changes the World 2019 Rocca verändert die Welt 12.2G,蓝光高清,09-08
医生在么 蓝光高清MKV版/医生速递(港) / 我出去医下(台) / A Good Doctor 2019 Docteur? 10.4G,蓝光高清,09-08
塔可夫斯基：在电影中祈祷 蓝光高清MKV版/虔诚者塔可夫斯基(港) / 塔可夫斯基：以电影之诗祈祷(台) / Andrey Tarkovsky. A Cinema Prayer / Tarkovskij Cinema Prayer / Andrej Tarkovskij. Il Cinema come Preghiera 2019 Андрей Тарковский. Кино как молитва 8.5G,蓝光高清,09-08
爱的盛宴  蓝光原盘下载+高清MKV版/爱情盛宴 / 浓情知味 2007 Feast of Love 20.0G,电影,09-07
妈妈和七天的时间 WEB-DL版下载/小咸 / 妈妈 / Mama 2020 妈妈和七天的时间 7.7G,蓝光高清,09-07
你觉得我是谁 蓝光高清MKV版/别问我是谁(台) / 你以为我是谁 / All That You Know / Who You Think I Am 2019 Celle que vous croyez 11.8G,蓝光高清,09-06
沉默之像 蓝光高清MKV版/沉默的眼睛 (香港國際電影節) 2014 The Look of Silence 14.7G,蓝光高清,09-06
私人战争 蓝光原盘下载+高清MKV版/第一眼战线(港) / 一个人的战争 / Marie Colvin 2018 A Private War 34.5G,电影,09-04
空白的13年 蓝光高清MKV版/爸不得你走(港) / 多桑不在家(台) / 空白十三年 2017 blank 13 4.7G,蓝光高清,09-04
豺狼的日子 蓝光原盘下载+高清MKV版/刺杀戴高乐/神探智擒职业杀手/豺狼末日/豺狼之日 1973 The Day of the Jackal 31.2GB,电影,09-03
玩乐时间 蓝光高清MKV版/嬉戏时间(港) / 游戏时间(台) / Playtime 1967 Play Time 10.9G,蓝光高清,09-03
谎言大师 蓝光原盘下载+高清MKV版/大说谎家(台) / 骗局谎情(港) / 好骗子 2019 The Good Liar 38.8G,电影,09-02
我们善熙 蓝光高清MKV版/我们善姬 / 那一年，我们都爱过的女孩(台) / Our Sunhi 2013 우리 선희 6.6G,蓝光高清,09-01
落魄大厨 蓝光原盘下载+高清MKV版/五星主厨快餐车(台) / 滋味旅程(港) / 大厨 2014 Chef 20.0G,电影,09-01
水俣病 蓝光高清MKV版/水俣 / 毒水曝光(港) / 恶水真相(台) 2020 Minamata 10.8G,蓝光高清,08-31
罗马假日 蓝光原盘下载+高清MKV版/罗马假期/金枝玉叶 1953 Roman Holiday 31.3G,排行TOP250,11-04
祖与占 蓝光高清MKV版/朱尔与吉姆 / 朱尔和吉姆 / 夏日之恋(台) / Jules and Jim 1962 Jules et Jim 15.5G,蓝光高清,11-02
距离 蓝光高清MKV版/这么……远，那么近 / Distance 2001 ディスタンス 12.1G,蓝光高清,11-02
九天 高清MKV版下载 2020 Nine Days 13.8G,蓝光高清,11-01
飞越苏联 蓝光高清MKV版/白色之夜 / 白夜逃亡 / 白夜 1985 White Nights 12.4G,蓝光高清,10-30
男人与鸡 蓝光高清MKV版/超科学怪鸡(港) / 鸡密真相(台) / 身世之谜 / 爷们与胆小鬼 / Mænd og høns / Men and Chickens 2015 Mænd & høns 12.7G,蓝光高清,10-30
养鬼吃人2 蓝光高清MKV版/猛鬼追魂2 1988 Hellbound: Hellraiser II 15.9G,蓝光高清,10-29
极盗行动 WEB-DL版下载/世纪大劫案 / The Heist of the Century 2020 El robo del siglo 7.1G,蓝光高清,10-27
东方 蓝光高清MKV版 2020 De Oost 18.5G,蓝光高清,10-26
再见溪谷 蓝光原盘下载+高清MKV版/Sayonara keikoku / The Ravine of Goodbye 2013 さよなら渓谷 43.7G,电影,10-25
钛 WEB-DL版下载/钛妙了 / 女泰坦 2021 Titane 5.2G,蓝光高清,10-24
我的秘密城堡 WEB-DL版下载 2003 I Capture the Castle 9.3G,蓝光高清,10-23
黑色1847 蓝光原盘下载+高清MKV版/Black 47 / The Ranger 2018 Black '47 23.0G,电影,10-22
静水城 蓝光高清MKV版 /斯蒂尔沃特/止水/静水 2021 Stillwater 28G,蓝光原盘,10-22
拒绝再战 蓝光高清MKV版/止损 / 强制返征 / 停止损失 2008 Stop-Loss 15.7G,蓝光高清,10-21
我是你的人 WEB-DL版下载/我是你的人类 / 定制男友 / I'm Your Man 2021 Ich bin dein Mensch 2.9G,蓝光高清,10-21
卖梦的两人 蓝光高清MKV版/不道德的夫妻(港) / Dreams for Sale 2012 夢売るふたり 13.1G,蓝光高清,10-20
摩加迪沙 WEB-DL版下载/绝路狂逃(港) / 逃出摩加迪休(台) / 摩加迪休 / Mogadishu / Escape from Mogadishu 2021 모가디슈 6.9G,蓝光高清,10-19
地下丝绒 4K蓝光高清MKV版 2021 The Velvet Underground 20.4G,4K,10-19
被遗忘的战役 蓝光高清MKV版/The Forgotten Battle 2020 De Slag Om De Schelde 5.2G,蓝光高清,10-18
惠特尼 蓝光原盘下载+高清MKV版/云妮侯斯顿：永恒的天后(港) / 永远爱你，惠妮！(台) / 惠特尼·休斯顿 2018 Whitney 29.4G,纪录片,10-17
真相背后 蓝光原盘下载+高清MKV版/完全真相(台) 2016 The Whole Truth 18.7G,电影,10-15
身在高地 4K蓝光原盘下载+高清MKV版/活在上城 / 纽约高地(台) / 狂舞纽约(港) 2021 In the Heights 86G,4K,10-14
成为弗林 蓝光原盘下载+高清MKV版/我的单身爸爸(港) / 衰城烂夜(台) / 烂城悲催夜 / 烂城衰夜 / Another Bullshit Night in Suck City 2012 Being Flynn 25.7G,电影,10-13
"逃狱三王 蓝光原盘下载+高清MKV版/霹雳高手 / 兄弟，你去哪？ / 兄弟，你在哪？ / O' Brother 2000 O Brother, Where Art Thou? 28.7G",电影,11-28
樱桃的滋味 蓝光高清MKV版/樱桃之味 / Taste of Cherry / Ta'm e guilass 1997 2.29G طعم گیلاس,蓝光高清,11-27
"倒数时刻 蓝光高清MKV版/滴答，滴答……轰隆隆 2021 Tick, Tick…Boom! 6.7G",蓝光高清,11-23
国王理查德 蓝光原盘下载+高清MKV版/王者世家(港) / 王者理查(台) / 王者理查德 2021 King Richard 40.0G,电影,11-22
"雷诺阿 蓝光高清MKV版/印象雷诺瓦(台) / 雷诺亚的缪斯(港) / Renoir, la Source 2012 Renoir 7.9G",蓝光高清,11-20
特工狂花 蓝光原盘下载+高清MKV版/失忆女特工 / 夺命总动 / 追命总动员 1996 The Long Kiss Goodnight 23.9G,电影,11-20
你自己与你所有 蓝光原盘下载+高清MKV版/爱上两个你(港) / 恋你非你(台) / Yourself and Yours 2016 당신 자신과 당신의 것 21.6G,电影,11-20
默片解说员 WEB-DL版下载/王牌辩士(台) / 电影辩士 / Talking the Pictures 2019 カツベン！ 9.1G,蓝光高清,11-19
花束般的恋爱 蓝光高清MKV版/她和他的恋爱花期(港) / Hanataba mitaina koi o shita / We Made a Beautiful Bouquet / I Fell in Love Like A Flower Bouquet 2021 花束みたいな恋をした 15.8G,蓝光高清,11-19
发条橙 蓝光原盘下载+高清MKV版/发条桔子 / 发条橙子 / 发条橘子 1971 A Clockwork Orange 24.4G,电影,11-18
夏洛特的网 蓝光高清MKV版/篱笆墙外 / 夏洛的网 / 莎乐的神奇网网 / 夏绿蒂的网 / Schweinchen Wilbur und seine Freunde 2006 Charlotte's Web 8.1G,蓝光高清,11-12
尚气与十环传奇 4K蓝光原盘下载+高清MKV版/尚气与十戒传奇 / 尚气与十环帮传奇(港) / 尚气 / 上气 / 商奇 / 尚气与十指环传奇 / 上气与十戒传奇 / 上气：十戒传奇 / 上气与十诫传说 2021 Shang-Chi and the Legend of the Ten Rings 58.7G,4K,11-11
良医妙药 蓝光原盘下载+高清MKV版/爱的代价(台) / 治愈药师 / 灵异妙药 / 特别措施 / 克罗利 2010 Extraordinary Measures 23.3G,电影,11-11
007：无暇赴死 WEB-DL版下载/007：生死有时(港) / 007：生死交战(台) / 007：间不容死 / 邦德25 / 007：没空去死(豆友译名) / James Bond 25 / Never Dream of Dying / Shatterhand 2021 No Time to Die 28.8G,蓝光高清,11-09
老亨利 蓝光高清MKV版 2021 Old Henry 17.0G,蓝光高清,11-09
合伙人 蓝光高清MKV版/从心出发的日子(台) / 企业风暴 / 公司的人 2010 The Company Men 10.6G,蓝光高清,11-08
荒岛惊魂 蓝光高清MKV版/孤岛惊魂(港) / 孤岛穷途 / 死胡同 / 坐困愁城 1966 Cul-de-sac 14.2G,蓝光高清,11-08
天降美食 蓝光原盘下载+高清MKV版/美食从天而降 / 美食风球(港) / 食破天惊(台) / 多云，有时有肉丸雨 / 天降小肉丸 / 天上掉馅饼 2009 Cloudy with a Chance of Meatballs 38.4G,电影,11-08
羞耻 蓝光高清MKV版/Shame 1968 Skammen 9.8G,蓝光高清,11-07
哥伦布传 蓝光原盘下载+高清MKV版/1492：征服天堂 / 1492: Christophe Colomb 1992 1492: Conquest of Paradise 38.5G,电影,11-06
芬奇 蓝光高清MKV版/生化 / 人生 / BIOS / 芬奇的旅程 2021 Finch 20.4G,蓝光高清,11-05
东京难民 蓝光高清MKV版/Refugee in Tokyo 2014 東京難民 19.7G,蓝光高清,11-05
路易斯·韦恩的激情人生 WEB-DL版下载/天才猫奴画家(台) / 路易斯韦恩的迷幻猫世界(港) / 路易斯·韦恩 / 路易斯·韦恩的电气生活 / Louis Wain / The Nine Lives Of Louis Wain 2021 The Electrical Life of Louis Wain 12.1G,蓝光高清,11-05
百战将军 蓝光高清MKV版/Colonel Blimp / The Adventures of Colonel Blimp / Leben und Sterben des Colonel Blimp 1943 The Life and Death of Colonel Blimp 19.2G,蓝光高清,11-05
